inc_before_tax,mo_net_tax_liab_dol_chg_single,mo_net_tax_liab_dol_chg_mar0kids,mo_net_tax_liab_dol_chg_hoh2kids,mo_net_tax_liab_dol_chg_mar2kids
198588.44,-2102.1196,-1913.1191,-2007.6191,-1913.1191
198609.4,-2102.371,-1913.3711,-2007.8711,-1913.3711
198630.39,-2102.623,-1913.623,-2008.123,-1913.623
198651.36,-2102.8745,-1913.8745,-2008.3745,-1913.8745
198672.34,-2103.126,-1914.126,-2008.626,-1914.126
198693.31,-2103.3774,-1914.3774,-2008.8774,-1914.3774
198714.3,-2103.6294,-1914.6294,-2009.1294,-1914.6294
198735.28,-2103.8813,-1914.8813,-2009.3813,-1914.8813
198756.25,-2104.1328,-1915.1328,-2009.6328,-1915.1328
198777.23,-2104.3848,-1915.3848,-2009.8848,-1915.3848
198798.2,-2104.6362,-1915.6367,-2010.1367,-1915.6367
198819.19,-2104.8882,-1915.8882,-2010.3882,-1915.8882
198840.16,-2105.1396,-1916.1401,-2010.6401,-1916.1401
198861.14,-2105.391,-1916.3916,-2010.8916,-1916.3916
198882.11,-2105.6436,-1916.6431,-2011.1431,-1916.6431
198903.1,-2105.8945,-1916.895,-2011.395,-1916.895
198924.06,-2106.147,-1917.1465,-2011.6465,-1917.1465
198945.05,-2106.399,-1917.3984,-2011.8984,-1917.3984
198966.02,-2106.6504,-1917.6504,-2012.1504,-1917.6504
198987.0,-2106.9023,-1917.9019,-2012.4019,-1917.9019
199007.97,-2107.1538,-1918.1538,-2012.6538,-1918.1538
199028.95,-2107.4058,-1918.4058,-2012.9058,-1918.4058
199049.92,-2107.6572,-1918.6572,-2013.1572,-1918.6572
199070.9,-2107.9087,-1918.9087,-2013.4087,-1918.9087
199091.88,-2108.1602,-1919.1602,-2013.6602,-1919.1602
199112.86,-2108.412,-1919.4121,-2013.9121,-1919.4121
199133.83,-2108.6636,-1919.6641,-2014.1641,-1919.6641
199154.81,-2108.9155,-1919.9155,-2014.4155,-1919.9155
199175.78,-2109.167,-1920.1675,-2014.6675,-1920.1675
199196.77,-2109.419,-1920.4194,-2014.9194,-1920.4194
199217.75,-2109.671,-1920.6714,-2015.1714,-1920.6714
199238.72,-2109.9224,-1920.9229,-2015.4229,-1920.9229
199259.7,-2110.1738,-1921.1743,-2015.6743,-1921.1743
199280.67,-2110.4263,-1921.4258,-2015.9258,-1921.4258
199301.66,-2110.6782,-1921.6777,-2016.1777,-1921.6777
199322.62,-2110.9297,-1921.9292,-2016.4292,-1921.9292
199343.61,-2111.1816,-1922.1812,-2016.6812,-1922.1812
199364.58,-2111.433,-1922.4331,-2016.9331,-1922.4331
199385.56,-2111.685,-1922.6846,-2017.1846,-1922.6846
199406.53,-2111.9365,-1922.9365,-2017.4365,-1922.9365
199427.52,-2112.1885,-1923.1885,-2017.6885,-1923.1885
199448.48,-2112.44,-1923.44,-2017.94,-1923.44
199469.47,-2112.6914,-1923.6914,-2018.1914,-1923.6914
199490.44,-2112.9429,-1923.9429,-2018.4429,-1923.9429
199511.42,-2113.1948,-1924.1948,-2018.6948,-1924.1948
199532.39,-2113.4463,-1924.4468,-2018.9468,-1924.4468
199553.38,-2113.6982,-1924.6982,-2019.1982,-1924.6982
199574.34,-2113.9497,-1924.9502,-2019.4502,-1924.9502
199595.33,-2114.2017,-1925.2021,-2019.7021,-1925.2021
199616.3,-2114.454,-1925.4536,-2019.9536,-1925.4536
199637.28,-2114.705,-1925.7056,-2020.2056,-1925.7056
199658.25,-2114.9575,-1925.957,-2020.457,-1925.957
199679.23,-2115.209,-1926.2085,-2020.7085,-1926.2085
199700.22,-2115.461,-1926.4604,-2020.9604,-1926.4604
199721.19,-2115.7124,-1926.7119,-2021.2119,-1926.7119
199742.17,-2115.9644,-1926.9639,-2021.4639,-1926.9639
199763.14,-2116.2158,-1927.2158,-2021.7158,-1927.2158
199784.12,-2116.4678,-1927.4678,-2021.9678,-1927.4678
199805.1,-2116.7192,-1927.7192,-2022.2192,-1927.7192
199826.08,-2116.9712,-1927.9712,-2022.4712,-1927.9712
199847.05,-2117.2227,-1928.2227,-2022.7227,-1928.2227
199868.03,-2117.4746,-1928.4746,-2022.9746,-1928.4746
199889.0,-2117.7256,-1928.7256,-2023.2256,-1928.7256
199909.98,-2117.9775,-1928.9775,-2023.4775,-1928.9775
199930.95,-2118.229,-1929.2295,-2023.7295,-1929.2295
199951.94,-2118.481,-1929.481,-2023.981,-1929.481
199972.9,-2118.7324,-1929.7329,-2024.2329,-1929.7329
199993.89,-2118.9844,-1929.9849,-2024.4849,-1929.9849
200014.86,-2119.2368,-1930.2363,-2024.7363,-1930.2363
200035.84,-2119.4878,-1930.4883,-2024.9883,-1930.4883
200056.81,-2119.7402,-1930.7397,-2025.2397,-1930.7397
200077.8,-2119.9922,-1930.9917,-2025.4917,-1930.9917
200098.77,-2120.2432,-1931.2432,-2025.7432,-1931.2432
200119.75,-2120.495,-1931.4946,-2025.9946,-1931.4946
200140.73,-2120.747,-1931.7466,-2026.2466,-1931.7466
200161.7,-2120.9985,-1931.9985,-2026.4985,-1931.9985
200182.69,-2121.2505,-1932.2505,-2026.7505,-1932.2505
200203.66,-2121.502,-1932.502,-2027.002,-1932.502
200224.64,-2121.754,-1932.7539,-2027.2539,-1932.7539
200245.61,-2122.0054,-1933.0054,-2027.5054,-1933.0054
200266.6,-2122.2573,-1933.2573,-2027.7573,-1933.2573
200287.56,-2122.5088,-1933.5088,-2028.0088,-1933.5088
200308.55,-2122.7603,-1933.7603,-2028.2603,-1933.7603
200329.52,-2123.0117,-1934.0122,-2028.5122,-1934.0122
200350.5,-2123.2637,-1934.2642,-2028.7642,-1934.2642
200371.47,-2123.5151,-1934.5156,-2029.0156,-1934.5156
200392.45,-2123.767,-1934.7676,-2029.2676,-1934.7676
200413.42,-2124.0195,-1935.019,-2029.519,-1935.019
200434.4,-2124.2705,-1935.271,-2029.771,-1935.271
200455.38,-2124.523,-1935.5225,-2030.0225,-1935.5225
200476.36,-2124.775,-1935.7744,-2030.2744,-1935.7744
